Algorithm: rsimulatedAnnealing	Instance: bur26a	Initial Score: 5814616	Score: 5541215	Number of Evaluations: 18515	Number of Performed Moves: 4704	Number of Best Solution Updates: 0	Solution: 	23 24 9 16 25 22 3 14 2 15 18 0 17 13 7 1 11 4 19 5 8 10 21 6 20 12 	Optimal Score: 5426670	Optimal Solution: 	11 15 26 7 4 13 12 2 6 18 9 5 1 21 8 14 3 20 19 10 17 25 16 24 22 23 
Algorithm: rsimulatedAnnealing	Instance: bur26a	Initial Score: 5958018	Score: 5453269	Number of Evaluations: 27220	Number of Performed Moves: 3334	Number of Best Solution Updates: 0	Solution: 	3 0 14 2 1 21 12 22 13 10 19 4 8 20 15 7 6 18 17 25 16 24 23 9 11 5 	Optimal Score: 5426670	Optimal Solution: 	11 15 26 7 4 13 12 2 6 18 9 5 1 21 8 14 3 20 19 10 17 25 16 24 22 23 
Algorithm: rsimulatedAnnealing	Instance: bur26a	Initial Score: 6037206	Score: 5626840	Number of Evaluations: 18535	Number of Performed Moves: 3872	Number of Best Solution Updates: 0	Solution: 	23 2 12 1 5 21 9 10 15 7 3 19 13 6 11 20 0 4 24 17 22 25 14 16 18 8 	Optimal Score: 5426670	Optimal Solution: 	11 15 26 7 4 13 12 2 6 18 9 5 1 21 8 14 3 20 19 10 17 25 16 24 22 23 
Algorithm: rsimulatedAnnealing	Instance: bur26a	Initial Score: 5848444	Score: 5471538	Number of Evaluations: 18769	Number of Performed Moves: 3303	Number of Best Solution Updates: 0	Solution: 	10 1 12 21 6 16 24 23 2 0 4 19 11 18 22 14 20 17 13 9 3 25 7 5 8 15 	Optimal Score: 5426670	Optimal Solution: 	11 15 26 7 4 13 12 2 6 18 9 5 1 21 8 14 3 20 19 10 17 25 16 24 22 23 
Algorithm: rsimulatedAnnealing	Instance: bur26a	Initial Score: 5879859	Score: 5490687	Number of Evaluations: 27195	Number of Performed Moves: 3206	Number of Best Solution Updates: 0	Solution: 	5 1 10 13 11 15 24 14 25 7 3 19 18 2 17 6 20 4 0 12 16 9 23 22 8 21 	Optimal Score: 5426670	Optimal Solution: 	11 15 26 7 4 13 12 2 6 18 9 5 1 21 8 14 3 20 19 10 17 25 16 24 22 23 
Algorithm: rsimulatedAnnealing	Instance: bur26a	Initial Score: 5859210	Score: 5467901	Number of Evaluations: 29129	Number of Performed Moves: 3832	Number of Best Solution Updates: 0	Solution: 	10 3 14 2 1 21 22 12 23 17 8 19 4 0 5 11 6 13 18 9 15 16 24 25 7 20 	Optimal Score: 5426670	Optimal Solution: 	11 15 26 7 4 13 12 2 6 18 9 5 1 21 8 14 3 20 19 10 17 25 16 24 22 23 
Algorithm: rsimulatedAnnealing	Instance: bur26a	Initial Score: 5804150	Score: 5479195	Number of Evaluations: 16572	Number of Performed Moves: 4050	Number of Best Solution Updates: 0	Solution: 	11 1 22 12 9 10 24 14 20 3 6 2 19 17 13 15 8 4 0 16 5 21 25 18 7 23 	Optimal Score: 5426670	Optimal Solution: 	11 15 26 7 4 13 12 2 6 18 9 5 1 21 8 14 3 20 19 10 17 25 16 24 22 23 
Algorithm: rsimulatedAnnealing	Instance: bur26a	Initial Score: 5852370	Score: 5752130	Number of Evaluations: 14922	Number of Performed Moves: 3732	Number of Best Solution Updates: 0	Solution: 	24 19 13 8 12 3 14 6 4 16 22 25 9 18 2 15 23 20 0 21 17 11 7 5 1 10 	Optimal Score: 5426670	Optimal Solution: 	11 15 26 7 4 13 12 2 6 18 9 5 1 21 8 14 3 20 19 10 17 25 16 24 22 23 
Algorithm: rsimulatedAnnealing	Instance: bur26a	Initial Score: 5815345	Score: 5815345	Number of Evaluations: 14649	Number of Performed Moves: 4362	Number of Best Solution Updates: 0	Solution: 	13 24 4 11 10 18 16 15 20 5 14 3 6 19 1 12 25 7 8 2 22 23 9 21 0 17 	Optimal Score: 5426670	Optimal Solution: 	11 15 26 7 4 13 12 2 6 18 9 5 1 21 8 14 3 20 19 10 17 25 16 24 22 23 
Algorithm: rsimulatedAnnealing	Instance: bur26a	Initial Score: 5760629	Score: 5705576	Number of Evaluations: 15068	Number of Performed Moves: 4669	Number of Best Solution Updates: 0	Solution: 	24 17 6 1 22 25 20 9 5 21 13 15 3 11 19 4 8 10 14 18 16 12 2 7 0 23 	Optimal Score: 5426670	Optimal Solution: 	11 15 26 7 4 13 12 2 6 18 9 5 1 21 8 14 3 20 19 10 17 25 16 24 22 23 
Algorithm: rsimulatedAnnealing	Instance: bur26a	Initial Score: 5809260	Score: 5753896	Number of Evaluations: 14729	Number of Performed Moves: 4969	Number of Best Solution Updates: 0	Solution: 	5 23 8 0 19 6 21 25 3 15 7 16 4 22 1 17 11 24 10 14 12 20 2 9 18 13 	Optimal Score: 5426670	Optimal Solution: 	11 15 26 7 4 13 12 2 6 18 9 5 1 21 8 14 3 20 19 10 17 25 16 24 22 23 
Algorithm: rsimulatedAnnealing	Instance: bur26a	Initial Score: 5981575	Score: 5891907	Number of Evaluations: 14792	Number of Performed Moves: 4444	Number of Best Solution Updates: 0	Solution: 	18 7 15 24 23 1 19 14 11 5 4 22 6 0 9 21 3 12 2 10 8 13 20 25 16 17 	Optimal Score: 5426670	Optimal Solution: 	11 15 26 7 4 13 12 2 6 18 9 5 1 21 8 14 3 20 19 10 17 25 16 24 22 23 
Algorithm: rsimulatedAnnealing	Instance: bur26a	Initial Score: 6126321	Score: 5915591	Number of Evaluations: 15014	Number of Performed Moves: 4600	Number of Best Solution Updates: 0	Solution: 	11 8 5 9 15 22 13 17 12 25 7 21 14 1 18 6 16 24 19 4 23 10 3 0 2 20 	Optimal Score: 5426670	Optimal Solution: 	11 15 26 7 4 13 12 2 6 18 9 5 1 21 8 14 3 20 19 10 17 25 16 24 22 23 
Algorithm: rsimulatedAnnealing	Instance: bur26a	Initial Score: 5947824	Score: 5855641	Number of Evaluations: 14656	Number of Performed Moves: 3414	Number of Best Solution Updates: 0	Solution: 	18 20 17 6 1 9 15 19 10 14 16 11 23 2 7 24 22 12 13 0 5 3 8 25 4 21 	Optimal Score: 5426670	Optimal Solution: 	11 15 26 7 4 13 12 2 6 18 9 5 1 21 8 14 3 20 19 10 17 25 16 24 22 23 
Algorithm: rsimulatedAnnealing	Instance: bur26a	Initial Score: 6110585	Score: 5892865	Number of Evaluations: 14981	Number of Performed Moves: 4176	Number of Best Solution Updates: 0	Solution: 	16 4 11 12 22 19 2 25 13 8 18 6 24 9 15 14 1 3 23 20 7 5 21 17 0 10 	Optimal Score: 5426670	Optimal Solution: 	11 15 26 7 4 13 12 2 6 18 9 5 1 21 8 14 3 20 19 10 17 25 16 24 22 23 
Algorithm: rsimulatedAnnealing	Instance: bur26a	Initial Score: 5990286	Score: 5874279	Number of Evaluations: 14999	Number of Performed Moves: 4668	Number of Best Solution Updates: 0	Solution: 	11 19 25 15 21 2 3 0 12 17 6 24 13 9 7 16 10 1 8 14 4 5 23 18 20 22 	Optimal Score: 5426670	Optimal Solution: 	11 15 26 7 4 13 12 2 6 18 9 5 1 21 8 14 3 20 19 10 17 25 16 24 22 23 
Algorithm: rsimulatedAnnealing	Instance: bur26a	Initial Score: 6057180	Score: 5865634	Number of Evaluations: 14914	Number of Performed Moves: 4104	Number of Best Solution Updates: 0	Solution: 	10 16 19 25 12 9 0 24 14 6 23 20 15 3 5 8 18 13 22 2 17 7 11 21 1 4 	Optimal Score: 5426670	Optimal Solution: 	11 15 26 7 4 13 12 2 6 18 9 5 1 21 8 14 3 20 19 10 17 25 16 24 22 23 
Algorithm: rsimulatedAnnealing	Instance: bur26a	Initial Score: 5905647	Score: 5790959	Number of Evaluations: 15100	Number of Performed Moves: 5222	Number of Best Solution Updates: 0	Solution: 	12 20 16 9 5 19 3 25 17 15 4 0 6 8 1 18 11 24 10 13 14 23 7 22 2 21 	Optimal Score: 5426670	Optimal Solution: 	11 15 26 7 4 13 12 2 6 18 9 5 1 21 8 14 3 20 19 10 17 25 16 24 22 23 
Algorithm: rsimulatedAnnealing	Instance: bur26a	Initial Score: 6021703	Score: 5994289	Number of Evaluations: 14920	Number of Performed Moves: 4167	Number of Best Solution Updates: 0	Solution: 	13 20 3 9 19 14 2 12 22 24 1 7 18 15 23 11 21 6 25 8 10 5 0 17 16 4 	Optimal Score: 5426670	Optimal Solution: 	11 15 26 7 4 13 12 2 6 18 9 5 1 21 8 14 3 20 19 10 17 25 16 24 22 23 
Algorithm: rsimulatedAnnealing	Instance: bur26a	Initial Score: 6160476	Score: 6089600	Number of Evaluations: 15107	Number of Performed Moves: 4244	Number of Best Solution Updates: 0	Solution: 	20 9 15 10 11 1 17 21 6 22 3 16 25 8 5 7 2 14 24 23 0 4 13 12 19 18 	Optimal Score: 5426670	Optimal Solution: 	11 15 26 7 4 13 12 2 6 18 9 5 1 21 8 14 3 20 19 10 17 25 16 24 22 23 
Algorithm: rsimulatedAnnealing	Instance: bur26a	Initial Score: 5954543	Score: 5837384	Number of Evaluations: 14660	Number of Performed Moves: 5662	Number of Best Solution Updates: 0	Solution: 	3 22 4 24 15 0 8 20 9 16 18 2 5 7 12 17 19 6 11 10 21 14 13 1 23 25 	Optimal Score: 5426670	Optimal Solution: 	11 15 26 7 4 13 12 2 6 18 9 5 1 21 8 14 3 20 19 10 17 25 16 24 22 23 
Algorithm: rsimulatedAnnealing	Instance: bur26a	Initial Score: 6122239	Score: 5944238	Number of Evaluations: 14844	Number of Performed Moves: 4987	Number of Best Solution Updates: 0	Solution: 	4 5 19 16 12 10 13 17 22 21 23 9 6 2 14 24 25 7 11 15 1 20 3 18 8 0 	Optimal Score: 5426670	Optimal Solution: 	11 15 26 7 4 13 12 2 6 18 9 5 1 21 8 14 3 20 19 10 17 25 16 24 22 23 
Algorithm: rsimulatedAnnealing	Instance: bur26a	Initial Score: 5885791	Score: 5776268	Number of Evaluations: 14579	Number of Performed Moves: 4409	Number of Best Solution Updates: 0	Solution: 	24 22 20 14 8 5 13 11 10 17 4 16 1 7 15 9 21 3 0 25 19 12 23 2 18 6 	Optimal Score: 5426670	Optimal Solution: 	11 15 26 7 4 13 12 2 6 18 9 5 1 21 8 14 3 20 19 10 17 25 16 24 22 23 
Algorithm: rsimulatedAnnealing	Instance: bur26a	Initial Score: 5850363	Score: 5845962	Number of Evaluations: 14571	Number of Performed Moves: 4030	Number of Best Solution Updates: 0	Solution: 	19 2 1 16 7 18 15 0 3 13 21 24 14 20 10 4 11 12 23 9 22 8 6 17 5 25 	Optimal Score: 5426670	Optimal Solution: 	11 15 26 7 4 13 12 2 6 18 9 5 1 21 8 14 3 20 19 10 17 25 16 24 22 23 
Algorithm: rsimulatedAnnealing	Instance: bur26a	Initial Score: 5875678	Score: 5769667	Number of Evaluations: 14839	Number of Performed Moves: 4676	Number of Best Solution Updates: 0	Solution: 	12 15 20 25 16 1 13 9 3 23 4 0 2 7 21 17 5 6 14 8 11 10 24 22 19 18 	Optimal Score: 5426670	Optimal Solution: 	11 15 26 7 4 13 12 2 6 18 9 5 1 21 8 14 3 20 19 10 17 25 16 24 22 23 
Algorithm: rsimulatedAnnealing	Instance: bur26a	Initial Score: 5845350	Score: 5734437	Number of Evaluations: 14949	Number of Performed Moves: 4887	Number of Best Solution Updates: 0	Solution: 	3 13 23 20 12 2 8 1 21 25 15 19 4 17 11 24 6 22 18 7 9 5 16 14 0 10 	Optimal Score: 5426670	Optimal Solution: 	11 15 26 7 4 13 12 2 6 18 9 5 1 21 8 14 3 20 19 10 17 25 16 24 22 23 
Algorithm: rsimulatedAnnealing	Instance: bur26a	Initial Score: 6068783	Score: 5927637	Number of Evaluations: 14952	Number of Performed Moves: 4325	Number of Best Solution Updates: 0	Solution: 	18 8 14 5 3 19 17 1 11 12 21 25 24 15 16 6 9 13 2 4 20 23 7 10 0 22 	Optimal Score: 5426670	Optimal Solution: 	11 15 26 7 4 13 12 2 6 18 9 5 1 21 8 14 3 20 19 10 17 25 16 24 22 23 
Algorithm: rsimulatedAnnealing	Instance: bur26a	Initial Score: 6006081	Score: 5841782	Number of Evaluations: 14560	Number of Performed Moves: 4413	Number of Best Solution Updates: 0	Solution: 	1 3 4 15 11 17 20 2 14 5 10 25 22 24 16 19 13 23 8 9 0 7 18 21 6 12 	Optimal Score: 5426670	Optimal Solution: 	11 15 26 7 4 13 12 2 6 18 9 5 1 21 8 14 3 20 19 10 17 25 16 24 22 23 
Algorithm: rsimulatedAnnealing	Instance: bur26a	Initial Score: 5857083	Score: 5790009	Number of Evaluations: 14785	Number of Performed Moves: 4208	Number of Best Solution Updates: 0	Solution: 	11 3 8 23 17 22 19 4 15 16 24 20 12 0 5 9 13 7 2 1 18 25 21 14 6 10 	Optimal Score: 5426670	Optimal Solution: 	11 15 26 7 4 13 12 2 6 18 9 5 1 21 8 14 3 20 19 10 17 25 16 24 22 23 
Algorithm: rsimulatedAnnealing	Instance: bur26a	Initial Score: 5966865	Score: 5815639	Number of Evaluations: 14732	Number of Performed Moves: 4688	Number of Best Solution Updates: 0	Solution: 	6 4 0 20 14 1 13 11 2 3 21 7 10 9 15 19 17 25 18 8 22 16 5 12 24 23 	Optimal Score: 5426670	Optimal Solution: 	11 15 26 7 4 13 12 2 6 18 9 5 1 21 8 14 3 20 19 10 17 25 16 24 22 23 
Algorithm: rsimulatedAnnealing	Instance: bur26a	Initial Score: 5972057	Score: 5894041	Number of Evaluations: 14768	Number of Performed Moves: 5446	Number of Best Solution Updates: 0	Solution: 	0 8 21 9 24 18 4 6 1 16 20 10 3 7 15 19 22 14 25 17 5 2 13 12 11 23 	Optimal Score: 5426670	Optimal Solution: 	11 15 26 7 4 13 12 2 6 18 9 5 1 21 8 14 3 20 19 10 17 25 16 24 22 23 
Algorithm: rsimulatedAnnealing	Instance: bur26a	Initial Score: 6104622	Score: 5961845	Number of Evaluations: 14760	Number of Performed Moves: 3822	Number of Best Solution Updates: 0	Solution: 	5 25 4 15 24 20 21 16 19 12 1 7 13 9 23 6 14 2 18 22 0 3 10 11 17 8 	Optimal Score: 5426670	Optimal Solution: 	11 15 26 7 4 13 12 2 6 18 9 5 1 21 8 14 3 20 19 10 17 25 16 24 22 23 
Algorithm: rsimulatedAnnealing	Instance: bur26a	Initial Score: 5920767	Score: 5787798	Number of Evaluations: 14831	Number of Performed Moves: 5105	Number of Best Solution Updates: 0	Solution: 	22 7 19 23 24 10 17 12 20 25 18 2 9 4 1 15 13 16 21 5 6 11 14 0 3 8 	Optimal Score: 5426670	Optimal Solution: 	11 15 26 7 4 13 12 2 6 18 9 5 1 21 8 14 3 20 19 10 17 25 16 24 22 23 
Algorithm: rsimulatedAnnealing	Instance: bur26a	Initial Score: 5981433	Score: 5954879	Number of Evaluations: 14964	Number of Performed Moves: 5123	Number of Best Solution Updates: 0	Solution: 	10 14 12 22 25 20 0 1 5 21 6 3 16 18 2 8 19 13 9 7 11 24 17 4 23 15 	Optimal Score: 5426670	Optimal Solution: 	11 15 26 7 4 13 12 2 6 18 9 5 1 21 8 14 3 20 19 10 17 25 16 24 22 23 
Algorithm: rsimulatedAnnealing	Instance: bur26a	Initial Score: 5877732	Score: 5865153	Number of Evaluations: 14533	Number of Performed Moves: 3733	Number of Best Solution Updates: 0	Solution: 	1 15 13 3 11 22 2 10 8 0 7 21 16 5 23 4 17 19 25 12 24 20 14 18 6 9 	Optimal Score: 5426670	Optimal Solution: 	11 15 26 7 4 13 12 2 6 18 9 5 1 21 8 14 3 20 19 10 17 25 16 24 22 23 
